competitie_naam,position,leeftijd_categorie,gemiddelde_fee,mediaan_fee,aantal_transfers
super-league,Attack,22-24,7585263.157894737,4000000.0,19
premier-league,Defender,31-33,6854736.842105263,3750000.0,19
torneo-apertura,Defender,22-24,3896631.5789473685,3500000.0,19
premier-league,Midfield,31-33,5407105.263157895,5000000.0,19
scottish-premiership,Attack,25-27,4326388.888888889,1390000.0,18
super-league-1,Attack,25-27,3903888.888888889,1100000.0,18
premier-liga,Attack,19-21,1422555.5555555555,325000.0,18
eliteserien,Attack,22-24,3390277.777777778,3100000.0,18
serie-a,Defender,31-33,4547777.777777778,2575000.0,18
eredivisie,Attack,19-21,5972222.222222222,1650000.0,18
torneo-apertura,Midfield,22-24,9650000.0,6750000.0,17
super-league,Defender,22-24,5736294.117647059,4000000.0,17
serie-a,Goalkeeper,28-30,7781176.470588235,3600000.0,17
super-lig,Attack,28-30,2889294.117647059,1500000.0,17
superliga,Midfield,25-27,1968470.5882352942,1000000.0,17
eredivisie,Defender,28-30,2791875.0,1000000.0,16
jupiler-pro-league,Defender,19-21,7140625.0,5000000.0,16
premier-league,Attack,19-21,14656250.0,11150000.0,16
superliga,Defender,25-27,825437.5,469000.0,16
eredivisie,Defender,19-21,13259375.0,4700000.0,16
premier-league,Attack,31-33,11161875.0,7450000.0,16
superliga,Defender,19-21,4762666.666666667,2750000.0,15
superliga,Midfield,19-21,5297333.333333333,2700000.0,15
allsvenskan,Attack,19-21,3523800.0,2300000.0,15
eliteserien,Attack,19-21,3987333.3333333335,2850000.0,15
premier-league,Midfield,19-21,15746666.666666666,10000000.0,15
campeonato-brasileiro-serie-a,Defender,19-21,9100000.0,7000000.0,15
torneo-apertura,Defender,25-27,4108000.0,3200000.0,15
premier-liga,Midfield,28-30,3156000.0,1000000.0,15
supersport-hnl,Midfield,22-24,6708000.0,1700000.0,15
premier-liga,Goalkeeper,22-24,1211666.6666666667,180000.0,15
campeonato-brasileiro-serie-a,Defender,25-27,3652142.8571428573,3790000.0,14
super-lig,Defender,19-21,4067571.4285714286,1225000.0,14
allsvenskan,Attack,22-24,2817857.1428571427,2500000.0,14
super-league-1,Defender,25-27,2532142.8571428573,500000.0,14
super-lig,Attack,22-24,3886428.5714285714,2975000.0,14
ligue-1,Midfield,31-33,4738461.538461538,5000000.0,13
eredivisie,Attack,28-30,9129230.76923077,4250000.0,13
super-liga-srbije,Attack,22-24,2330769.230769231,1000000.0,13
liga-portugal,Attack,19-21,23147692.307692308,12500000.0,13
torneo-apertura,Midfield,19-21,7834615.384615385,8000000.0,13
serie-a,Midfield,31-33,8326923.076923077,3000000.0,13
super-lig,Attack,31-33,1828615.3846153845,1600000.0,13
allsvenskan,Defender,22-24,2613846.153846154,2680000.0,13
super-lig,Midfield,28-30,3285230.769230769,1000000.0,13
laliga,Attack,19-21,15538461.538461538,12000000.0,13
super-lig,Midfield,25-27,3981538.4615384615,2500000.0,13
jupiler-pro-league,Midfield,19-21,7392307.692307692,3000000.0,13
serie-a,Attack,34+,3158333.3333333335,2000000.0,12
premier-league,Defender,19-21,18979583.333333332,12000000.0,12
torneo-apertura,Attack,22-24,7315166.666666667,3840000.0,12
laliga,Defender,19-21,8487500.0,9000000.0,12
allsvenskan,Midfield,19-21,4754166.666666667,3125000.0,12
jupiler-pro-league,Midfield,28-30,2504166.6666666665,1600000.0,12
campeonato-brasileiro-serie-a,Attack,25-27,7958333.333333333,4600000.0,12
superliga,Attack,28-30,1416083.3333333333,1175000.0,12
liga-portugal,Midfield,19-21,16119166.666666666,10150000.0,12
premier-league,Goalkeeper,31-33,8066666.666666667,6400000.0,12
super-league-1,Defender,28-30,1043666.6666666666,600000.0,12
super-league-1,Midfield,25-27,1535000.0,500000.0,12
ligue-1,Goalkeeper,25-27,7300000.0,2300000.0,12
super-league,Midfield,22-24,4680000.0,2125000.0,12
allsvenskan,Defender,19-21,1741833.3333333333,1500000.0,12
major-league-soccer,Attack,22-24,5409916.666666667,3250000.0,12
allsvenskan,Attack,25-27,1418181.8181818181,1000000.0,11
eliteserien,Midfield,22-24,3348181.8181818184,1500000.0,11
superliga,Defender,28-30,834545.4545454546,720000.0,11
super-league,Defender,25-27,2597272.727272727,1500000.0,11
superliga,Goalkeeper,25-27,2432636.3636363638,1000000.0,11
bundesliga,Goalkeeper,25-27,4409090.909090909,1500000.0,11
super-liga-srbije,Attack,19-21,4052272.727272727,3500000.0,11
premier-liga,Defender,19-21,3833636.3636363638,700000.0,11
eredivisie,Midfield,28-30,1052272.7272727273,875000.0,11
serie-a,Goalkeeper,22-24,7895454.545454546,7500000.0,11
scottish-premiership,Defender,25-27,1111909.0909090908,860000.0,11
liga-portugal,Midfield,28-30,8655500.0,1400000.0,10
laliga,Midfield,31-33,11230000.0,3050000.0,10
chance-liga,Defender,25-27,3632500.0,1250000.0,10
major-league-soccer,Defender,22-24,2156200.0,1500000.0,10
premier-league,Goalkeeper,22-24,11335000.0,5500000.0,10
super-league,Midfield,25-27,2650000.0,2200000.0,10
super-lig,Defender,28-30,1435200.0,1000000.0,10
chance-liga,Defender,22-24,3188800.0,1000000.0,10
campeonato-brasileiro-serie-a,Midfield,19-21,9842500.0,8750000.0,10
supersport-hnl,Midfield,25-27,2352000.0,1600000.0,10
supersport-hnl,Defender,22-24,5685000.0,2750000.0,10
allsvenskan,Defender,25-27,1965000.0,1925000.0,10
eliteserien,Midfield,19-21,3632000.0,2550000.0,10
torneo-apertura,Attack,25-27,5613000.0,3600000.0,10
bundesliga,Goalkeeper,28-30,3111000.0,1825000.0,10
torneo-apertura,Attack,19-21,9336000.0,8240000.0,10
bundesliga,Goalkeeper,22-24,4090000.0,2850000.0,10
serie-a,Attack,19-21,17637000.0,8885000.0,10
ligue-1,Defender,31-33,3660000.0,4250000.0,10
liga-portugal,Defender,19-21,12294444.444444444,7750000.0,9
pko-bp-ekstraklasa,Attack,22-24,3094444.4444444445,2500000.0,9
serie-a,Attack,31-33,4283333.333333333,4100000.0,9
pko-bp-ekstraklasa,Midfield,22-24,4022222.222222222,2500000.0,9
scottish-premiership,Midfield,22-24,4452777.777777778,1500000.0,9
major-league-soccer,Attack,25-27,8280555.555555556,6000000.0,9
super-liga-srbije,Defender,19-21,5544444.444444444,4800000.0,9
eliteserien,Defender,19-21,1657777.7777777778,1480000.0,9
superliga,Defender,31-33,747777.7777777778,500000.0,9
supersport-hnl,Defender,25-27,1635555.5555555555,1600000.0,9
bundesliga,Defender,31-33,6805555.555555556,1400000.0,9
laliga,Goalkeeper,31-33,9742222.222222222,4000000.0,9
torneo-apertura,Defender,19-21,8216666.666666667,6350000.0,9
torneo-apertura,Midfield,25-27,5232222.222222222,3000000.0,9
super-league-1,Attack,28-30,4353500.0,1550000.0,8
super-lig,Midfield,19-21,6520875.0,479500.0,8
ligue-1,Goalkeeper,22-24,6725000.0,1600000.0,8
scottish-premiership,Attack,22-24,5001875.0,1950000.0,8
campeonato-brasileiro-serie-a,Midfield,25-27,8868750.0,4400000.0,8
laliga,Defender,31-33,3216250.0,1500000.0,8
super-league,Defender,19-21,5652500.0,4250000.0,8
super-league,Attack,25-27,3302500.0,3320000.0,8
allsvenskan,Midfield,22-24,2467500.0,825000.0,8
ligue-1,Goalkeeper,28-30,8181250.0,9150000.0,8
super-liga-srbije,Midfield,22-24,2162500.0,1550000.0,8
bundesliga,Midfield,31-33,6943750.0,3850000.0,8
jupiler-pro-league,Goalkeeper,25-27,1110714.2857142857,1000000.0,7
scottish-premiership,Attack,28-30,3216285.714285714,2000000.0,7
super-lig,Midfield,31-33,1828571.4285714286,1000000.0,7
super-liga-srbije,Defender,25-27,610000.0,650000.0,7
super-league,Attack,19-21,6157142.857142857,4000000.0,7
pko-bp-ekstraklasa,Defender,22-24,2032142.857142857,1600000.0,7
j1-league,Midfield,22-24,1057142.857142857,1000000.0,7
super-league-1,Defender,22-24,2542857.1428571427,1000000.0,7
super-league-1,Attack,19-21,9907142.857142856,4500000.0,7
super-league-1,Defender,19-21,2854285.714285714,850000.0,7
premier-liga,Goalkeeper,25-27,3235714.285714286,400000.0,7
